.abogado: whois.nic.abogado
.avianca: whois.afilias-srs.net
.christmas: whois.uniregistry.net
.bank: whois.nic.bank
.diet: whois.uniregistry.net
.accountants: whois.nic.accountants
.airforce: whois.nic.airforce
.abc: whois.nic.abc
.bj: whois.nic.bj
.firestone: whois.nic.firestone
.bio: whois.afilias.net
.dvag: whois.nic.dvag
.cheap: whois.nic.cheap
.chat: whois.nic.chat
.fyi: whois.nic.fyi
.ee: whois.tld.ee
.black: whois.afilias.net
.cool: whois.nic.cool
.direct: whois.nic.direct
.akdn: whois.afilias-srs.net
.contractors: whois.nic.contractors
.dev: whois.nic.google
.as: whois.nic.as
.fish: whois.nic.fish
.gal: whois.nic.gal
.deal: whois.nic.deal
.at: whois.nic.at
.arpa: whois.iana.org
.ceo: whois.nic.ceo
.ceb: whois.afilias-srs.net
.fit: whois.nic.fit
.corsica: whois-corsica.nic.fr
.gift: whois.uniregistry.net
.capitalone: whois.nic.capitalone
.life: whois.nic.life
.cars: whois.uniregistry.net
.case: whois.nic.case
.broadway: whois.nic.broadway
.forsale: whois.nic.forsale
.autos: whois.afilias-srs.net
.events: whois.nic.events
.dunlop: whois.nic.dunlop
.cpa: whois.nic.cpa
.barclays: whois.nic.barclays
.city: whois.nic.city
.email: whois.nic.email
.delivery: whois.nic.delivery
.barefoot: whois.nic.barefoot
.coupons: whois.nic.coupons
.eurovision: whois.nic.eurovision
.imamat: whois.afilias-srs.net
.courses: whois.nic.courses
.flights: whois.nic.flights
.creditunion: whois.afilias-srs.net
.agency: whois.nic.agency
.bcn: whois.nic.bcn
.durban: durban-whois.registry.net.za
.gallo: whois.nic.gallo
.channel: whois.nic.google
.cafe: whois.nic.cafe
.aero: whois.aero
.cal: whois.nic.google
.green: whois.afilias.net
.chrome: whois.nic.google
.afamilycompany: whois.nic.afamilycompany
.immo: whois.nic.immo
.fire: whois.nic.fire
.coop: whois.nic.coop
.ec: whois.nic.ec
.car: whois.uniregistry.net
.attorney: whois.nic.attorney
.walmart: whois.nic.walmart
.emerck: whois.afilias-srs.net
.ie: whois.iedr.ie
.cr: whois.nic.cr
.alibaba: whois.nic.alibaba
.ge: whois.nic.ge
.bi: whois1.nic.bi
.dz: whois.nic.dz
.democrat: whois.nic.democrat
.bond: whois.nic.bond
.br: whois.registro.br
.eco: whois.nic.eco
.camera: whois.nic.camera
.cfd: whois.nic.cfd
.lidl: whois.nic.lidl
.fiat: whois.afilias-srs.net
.fairwinds: whois.nic.fairwinds
.forex: whois.nic.forex
.actor: whois.nic.actor
.bid: whois.nic.bid
.creditcard: whois.nic.creditcard
.cfa: whois.nic.cfa
.gi: whois2.afilias-grs.net
.equipment: whois.nic.equipment
.ing: whois.nic.google
.futbol: whois.nic.futbol
.gay: whois.nic.gay
.bmw: whois.nic.bmw
.fage: whois.afilias-srs.net
.casa: whois.nic.casa
.fidelity: whois.nic.fidelity
.army: whois.nic.army
.alstom: whois.nic.alstom
.dish: whois.nic.dish
.duck: whois.nic.duck
.aol: whois.nic.aol
.agakhan: whois.afilias-srs.net
.ac: whois.nic.ac
.contact: whois.nic.contact
.protection: whois.nic.protection
.dk: whois.dk-hostmaster.dk
.compare: whois.nic.compare
.domains: whois.nic.domains
.gf: whois.mediaserv.net
.industries: whois.nic.industries
.budapest: whois.nic.budapest
.biz: whois.nic.biz
.catering: whois.nic.catering
.cleaning: whois.nic.cleaning
.africa: africa-whois.registry.net.za
.exposed: whois.nic.exposed
.bcg: whois.nic.bcg
.cam: whois.nic.cam
.voyage: whois.nic.voyage
.gallery: whois.nic.gallery
.imdb: whois.nic.imdb
.in: whois.registry.in
.buy: whois.nic.buy
.ae: whois.aeda.net.ae
.globo: whois.gtlds.nic.br
.ads: whois.nic.google
.deals: whois.nic.deals
.bet: whois.afilias.net
.cologne: whois.ryce-rsp.com
.eu: whois.eu
.audi: whois.afilias-srs.net
.abarth: whois.afilias-srs.net
.academy: whois.nic.academy
.accountant: whois.nic.accountant
.abbott: whois.afilias-srs.net
